省份,年份,新质生产力_组合得分,高质量发展_组合得分,产业高级化率（%）,城镇化率（%）,政府干预度（一般公共预算支出/GDP）,基础设施_公路里程（公里）,基础设施_铁路里程（公里）,每万人R&D人员（人年/万人）,人均R&D经费（万元/万人）,每万人专利授权数（件/万人）,人均电商销售额（亿元/万人）,人均软件产品收入（亿元/万人）,人均技术市场成交额（万元/万人）,人均电信业务总量（亿元/万人）,数字普惠金融总指数,人均地区生产总值（元）,居民人均可支配收入（元）,对外开放度（进出口/GDP）,环保重视度（污染治理投资/GDP）,单位GDP能耗（万吨标煤/亿元）
甘肃,2012,0.027007313726706433,0.1849086963217468,40.16867190541927,38.78,0.3645116633039538,131201.0,2500.0,4.488235294117647,132.4646666666667,1.436078431372549,0.0887277177769018,0.0025812823529411,286.5172619607843,0.07058829411764705,76.29,21978.0,10954.39757,0.041115942652947,0.0037341067572829,1.2401403720222293
甘肃,2013,0.04413726679266834,0.17311847085063659,40.55798025175771,40.5,0.3648295841369583,133597.0,2600.0,4.916003153330705,157.95936145053213,1.86716594402838,0.0887277177769018,0.0032156996452502,394.1412298383918,0.08960579030350808,128.39,24539.0,10954.39757,0.041115942652947,0.0028771555707197,1.1510593631973767
甘肃,2014,0.05576847967409307,0.17423893686431158,44.02061192191692,42.28,0.3717356899845249,138084.0,3403.435,5.681469774792572,183.48866060845515,2.0138285262742,0.1344104069537732,0.0030192690636112,452.4544650335835,0.10431054919004346,159.76,26433.0,12184.7,0.041115942652947,0.0025742962371394,1.1000728408821645
甘肃,2015,0.07039750259189409,0.1262171421218517,49.2091825640715,44.24,0.4356659701699637,140052.0,3847.229,4.985334918747522,192.65846214823625,2.7395957193816884,0.1272717003567182,0.0045433531510107,514.0538846611176,0.13844233055885852,199.78,26165.26078,13466.6,0.041115942652947,0.0006038009801869,1.1028940342975746
甘肃,2016,0.06655148835958402,0.1617217124245034,51.4059694154606,46.07,0.4374816849689669,143039.0,4102.1,5.003968253968254,202.0744444444444,3.1646825396825395,0.1289586904761905,0.0042045238095238,597.8632376984127,0.09208333333333334,204.1109842711307,27643.0,14670.31404,0.041115942652947,0.0015276992710096,1.0138367889427904
甘肃,2017,0.08722848929109779,0.15383541577406432,54.13417906983528,48.12,0.4429606171921192,142252.036,4663.824,4.003172085646312,185.1354480570976,3.8350515463917527,0.1635929024583663,0.0050013521015067,646.1488505154639,0.18088455987311658,243.7797495090275,28496.50103,16010.9997,0.0452369095110319,0.0010047990552494,1.0059116707701827
甘肃,2018,0.13203371747671813,0.16065508804320713,54.9364145586928,49.69,0.4574582801261692,143227.598,4671.741,3.1912524850894632,189.3245725646123,5.549900596421471,0.2013388071570576,0.0076563379721669,719.1961673956263,0.474831013916501,266.8229732988198,31336.12516,17488.39344,0.0518230623800186,0.0007820715967206999,0.9486943477317074
甘肃,2019,0.17784642928514532,0.16216350072085117,55.11854375279584,50.7,0.4532533980248443,151442.763,4829.665,3.4065364687126345,201.49234754882423,5.936229573535273,0.2206189477879633,0.0076583300119569,782.850207253886,0.780739585492228,289.1404686384269,32994.56,19139.01964,0.0425552871546058,0.000559344138192,0.8967344551116617
甘肃,2020,0.21608928281600454,0.16289827214782193,55.08134905231405,52.23,0.4617432098217751,155957.0,5113.0,3.4442223110755696,208.4502199120352,8.393042782886845,0.2174730107956817,0.0088084766093562,932.2508376649341,1.0226469412235106,305.4995935746279,35995.0,20335.10884,0.0437521487905774,0.0003753479654419,0.8967344551116617
甘肃,2021,0.11589538845381445,0.17596190376828585,52.83453574531646,53.33,0.3936776429470972,156582.54,5338.494,5.038955823293173,258.2121285140562,10.46425702811245,0.3096768393574297,0.0068595742971887,1126.072592369478,0.12073493975903614,341.1583231189977,41046.0,22066.0,0.0483926078509855,0.000525096404479,0.8967344551116617
甘肃,2022,0.11867764360786168,0.19544300974697046,51.25339237251821,54.19,0.3800490108555921,157243.189,5591.16,5.813402889245586,288.927367576244,9.024879614767256,0.471183555377207,0.0056507423756019,1347.6765650080256,0.11956140449438203,345.217811038412,44968.0,23273.12063,0.0572864590772746,0.0009629847521782,0.8967344551116617
